LexToken(VARIABLE,'i',31,914)
LexToken(EQUALS,'=',31,916)
LexToken(NUMBER,0,31,918)
LexToken(DOTCOMMA,';',31,919)
LexToken(VARIABLE,'i',31,921)
LexToken(LANGLE,'<',31,923)
LexToken(NUMBER,10,31,925)
LexToken(DOTCOMMA,';',31,927)
LexToken(VARIABLE,'i',31,929)
LexToken(PLUS,'+',31,930)
LexToken(PLUS,'+',31,931)
LexToken(RPAREN,')',31,932)
LexToken(LBRACE,'{',31,934)
LexToken(VARIABLE,'myList',32,948)
LexToken(DOT,'.',32,954)
LexToken(VARIABLE,'add',32,955)
LexToken(LPAREN,'(',32,958)
LexToken(VARIABLE,'i',32,959)
LexToken(RPAREN,')',32,960)
LexToken(DOTCOMMA,';',32,961)
LexToken(RBRACE,'}',33,971)
LexToken(WHILE,'while',35,982)
LexToken(LPAREN,'(',35,988)
LexToken(VARIABLE,'localVar',35,989)
LexToken(RANGLE,'>',35,998)
LexToken(NUMBER,0,35,1000)
LexToken(RPAREN,')',35,1001)
LexToken(LBRACE,'{',35,1003)
LexToken(VARIABLE,'localVar',36,1017)
LexToken(MINUS,'-',36,1025)
LexToken(MINUS,'-',36,1026)
LexToken(DOTCOMMA,';',36,1027)
LexToken(RBRACE,'}',37,1037)
LexToken(SWITCH,'switch',39,1048)
LexToken(LPAREN,'(',39,1055)
LexToken(VARIABLE,'localVar',39,1056)
LexToken(RPAREN,')',39,1064)
LexToken(LBRACE,'{',39,1066)
LexToken(CASE,'case',40,1080)
LexToken(NUMBER,0,40,1085)
LexToken(TWODOTS,':',40,1086)
LexToken(PRINT,'print',41,1104)
LexToken(LPAREN,'(',41,1109)
LexToken(VARIABLE,'localVar',41,1111)
LexToken(IS,'is',41,1120)
LexToken(VARIABLE,'zero',41,1123)
LexToken(RPAREN,')',41,1128)
LexToken(DOTCOMMA,';',41,1129)
LexToken(BREAK,'break',42,1147)
LexToken(DOTCOMMA,';',42,1152)
LexToken(VARIABLE,'default',43,1166)
LexToken(TWODOTS,':',43,1173)
LexToken(PRINT,'print',44,1191)
LexToken(LPAREN,'(',44,1196)
LexToken(VARIABLE,'localVar',44,1198)
LexToken(IS,'is',44,1207)
LexToken(VARIABLE,'not',44,1210)
LexToken(VARIABLE,'zero',44,1214)
LexToken(RPAREN,')',44,1219)
LexToken(DOTCOMMA,';',44,1220)
LexToken(BREAK,'break',45,1238)
LexToken(DOTCOMMA,';',45,1243)
LexToken(RBRACE,'}',46,1253)
LexToken(TRY,'try',48,1264)
LexToken(LBRACE,'{',48,1268)
LexToken(INT,'int',49,1282)
LexToken(VARIABLE,'result',49,1286)
LexToken(EQUALS,'=',49,1293)
LexToken(VARIABLE,'localVar',49,1295)
LexToken(DIVIDE,'/',49,1304)
LexToken(NUMBER,0,49,1306)
LexToken(DOTCOMMA,';',49,1307)
LexToken(RBRACE,'}',50,1317)
LexToken(CATCH,'catch',50,1319)
LexToken(LPAREN,'(',50,1325)
LexToken(VARIABLE,'ArithmeticException',50,1326)
LexToken(VARIABLE,'e',50,1346)
LexToken(RPAREN,')',50,1347)
LexToken(LBRACE,'{',50,1349)
LexToken(PRINT,'print',51,1363)
LexToken(LPAREN,'(',51,1368)
LexToken(VARIABLE,'Division',51,1370)
LexToken(VARIABLE,'by',51,1379)
LexToken(VARIABLE,'zero',51,1382)
LexToken(ADMIRATION,'!',51,1386)
LexToken(RPAREN,')',51,1388)
LexToken(DOTCOMMA,';',51,1389)
LexToken(RBRACE,'}',52,1399)
LexToken(FINALLY,'finally',52,1401)
LexToken(LBRACE,'{',52,1409)
LexToken(PRINT,'print',53,1423)
LexToken(LPAREN,'(',53,1428)
LexToken(VARIABLE,'End',53,1430)
LexToken(VARIABLE,'of',53,1434)
LexToken(TRY,'try',53,1437)
LexToken(MINUS,'-',53,1440)
LexToken(CATCH,'catch',53,1441)
LexToken(VARIABLE,'block',53,1447)
LexToken(RPAREN,')',53,1453)
LexToken(DOTCOMMA,';',53,1454)
LexToken(RBRACE,'}',54,1464)
LexToken(VARIABLE,'number',56,1475)
LexToken(EQUALS,'=',56,1482)
LexToken(LPAREN,'(',56,1484)
LexToken(INT,'int',56,1485)
LexToken(RPAREN,')',56,1488)
LexToken(VARIABLE,'pi',56,1490)
LexToken(DOTCOMMA,';',56,1492)
LexToken(commentLine,'// Casting',56,1494)
LexToken(VARIABLE,'myMap',57,1513)
LexToken(DOT,'.',57,1518)
LexToken(VARIABLE,'put',57,1519)
LexToken(LPAREN,'(',57,1522)
LexToken(VARIABLE,'Key',57,1524)
LexToken(COMMA,',',57,1528)
LexToken(NUMBER,123,57,1530)
LexToken(RPAREN,')',57,1533)
LexToken(DOTCOMMA,';',57,1534)
LexToken(commentLine,'// Check reserved words',59,1545)
LexToken(VARIABLE,'nullCheck',60,1577)
LexToken(LPAREN,'(',60,1586)
LexToken(NULL,'null',60,1587)
LexToken(RPAREN,')',60,1591)
LexToken(DOTCOMMA,';',60,1592)
LexToken(VARIABLE,'thisCheck',61,1602)
LexToken(LPAREN,'(',61,1611)
LexToken(THIS,'this',61,1612)
LexToken(RPAREN,')',61,1616)
LexToken(DOTCOMMA,';',61,1617)
LexToken(VARIABLE,'superCheck',62,1627)
LexToken(LPAREN,'(',62,1637)
LexToken(SUPER,'super',62,1638)
LexToken(DOT,'.',62,1643)
LexToken(VARIABLE,'toString',62,1644)
LexToken(LPAREN,'(',62,1652)
